,Date,Open,High,Low,Close,Volume
0,7-Apr-17,50.33,50.5,49.5,49.68,6211996
1,6-Apr-17,50.2,50.45,49.86,50.15,5773233
2,5-Apr-17,50.25,51.26,49.82,49.85,12281873
3,4-Apr-17,49.3,49.69,48.76,49.55,6288801
4,3-Apr-17,49.46,49.66,48.81,49.28,6870682
5,31-Mar-17,49.02,49.52,48.91,49.21,6392574
6,30-Mar-17,49.76,49.82,48.65,49.02,11840212
7,29-Mar-17,48.0,49.52,47.96,49.22,10831220
8,28-Mar-17,47.92,48.26,47.55,48.02,10606764
9,27-Mar-17,48.6,48.77,47.52,47.78,14193715
10,24-Mar-17,49.2,50.62,49.19,49.41,9607359
11,23-Mar-17,49.74,50.16,49.43,49.71,5620703
12,22-Mar-17,49.87,50.31,49.36,49.83,7544858
13,21-Mar-17,51.11,51.26,49.82,50.15,7672975
14,20-Mar-17,50.36,50.82,49.84,50.64,7763223
15,17-Mar-17,51.15,51.47,50.59,50.78,8131399
16,16-Mar-17,51.65,51.83,50.81,50.92,7336031
17,15-Mar-17,50.32,51.92,49.99,51.54,9992994
18,14-Mar-17,50.05,50.15,48.54,49.8,13128057
19,13-Mar-17,51.02,51.33,50.67,50.88,6272392
20,10-Mar-17,51.39,51.5,50.61,50.91,7711119
21,9-Mar-17,50.59,50.99,49.75,50.89,14967420
22,8-Mar-17,52.63,53.23,51.2,51.29,14736919
23,7-Mar-17,53.72,53.78,52.83,52.97,7246368
24,6-Mar-17,53.79,54.0,53.34,53.8,5656123
25,3-Mar-17,54.0,54.4,53.7,53.87,4105033
26,2-Mar-17,54.37,54.5,53.68,53.87,5772117
27,1-Mar-17,53.97,55.21,53.94,54.7,7176434
28,28-Feb-17,53.0,53.65,52.5,53.46,6503678
29,27-Feb-17,52.86,53.71,52.59,53.2,6902535
30,24-Feb-17,52.75,53.0,52.35,52.87,6489597
31,23-Feb-17,53.75,54.28,53.1,53.19,7971039
32,22-Feb-17,53.49,53.93,52.99,53.06,7736109
33,21-Feb-17,54.44,54.93,53.8,53.84,7496888
34,17-Feb-17,54.02,54.4,53.52,53.71,9055806
35,16-Feb-17,55.82,56.0,54.26,54.31,10925646
36,15-Feb-17,56.18,56.56,55.66,55.77,5978525
37,14-Feb-17,56.05,56.58,56.01,56.54,8102296
38,13-Feb-17,56.14,56.76,55.96,56.32,7161827
39,10-Feb-17,57.02,57.38,55.99,56.13,7937524
40,9-Feb-17,55.87,56.76,55.65,56.68,9320932
41,8-Feb-17,54.6,55.45,53.5,55.44,9849476
42,7-Feb-17,55.74,56.0,54.6,54.88,8395920
43,6-Feb-17,56.64,56.76,56.01,56.1,4745193
44,3-Feb-17,56.25,57.06,56.13,56.58,5344472
45,2-Feb-17,56.46,56.59,55.7,56.29,6183447
46,1-Feb-17,57.18,57.23,55.41,56.23,7082982
47,31-Jan-17,56.73,56.78,55.81,56.57,5849521
48,30-Jan-17,58.02,58.1,55.37,56.48,10361050
49,27-Jan-17,57.94,58.47,57.75,58.21,6892974
50,26-Jan-17,57.46,58.78,57.46,58.06,8989812
51,25-Jan-17,56.9,57.7,56.76,57.41,9837065
52,24-Jan-17,55.24,56.79,55.09,56.62,11276703
53,23-Jan-17,55.0,55.2,53.92,54.8,17718731
54,20-Jan-17,56.12,56.84,55.99,56.45,14793644
55,19-Jan-17,55.07,55.4,54.78,55.34,9144435
56,18-Jan-17,54.5,55.3,54.43,55.13,6156343
57,17-Jan-17,54.67,55.06,54.19,55.01,7712635
58,13-Jan-17,54.7,55.19,54.49,54.54,5995616
59,12-Jan-17,55.8,55.85,55.07,55.18,5954033
60,11-Jan-17,55.09,55.61,54.69,55.39,9995110
61,10-Jan-17,56.05,56.06,54.62,54.64,9774121
62,9-Jan-17,56.1,56.33,55.81,56.07,9080525
63,6-Jan-17,56.23,56.98,55.91,56.66,7899545
64,5-Jan-17,56.19,56.88,56.04,56.21,7083257
65,4-Jan-17,55.61,56.15,55.49,55.89,6265902
66,3-Jan-17,54.96,56.33,54.95,55.68,10531666
67,30-Dec-16,54.03,54.36,53.61,54.09,4655716
68,29-Dec-16,54.14,54.46,53.84,54.04,4237456
69,28-Dec-16,55.11,55.22,54.18,54.3,4956825
70,27-Dec-16,55.02,55.54,54.7,54.91,3609768
71,23-Dec-16,55.04,55.26,54.63,54.84,3168012
72,22-Dec-16,54.63,55.42,54.63,55.07,5370484
73,21-Dec-16,53.76,55.28,53.35,54.96,10087753
74,20-Dec-16,54.15,54.25,53.12,53.33,8164332
75,19-Dec-16,53.61,54.03,53.43,53.72,5563813
76,16-Dec-16,54.23,54.28,53.74,53.99,12707817
77,15-Dec-16,53.51,54.02,53.13,53.79,8359337
78,14-Dec-16,54.23,54.56,53.41,53.51,9068027
79,13-Dec-16,54.59,55.56,54.26,54.9,8600737
80,12-Dec-16,55.05,56.08,54.36,54.49,10575137
81,9-Dec-16,54.5,54.51,53.77,54.2,6003054
82,8-Dec-16,53.76,54.49,53.33,54.43,9037456
83,7-Dec-16,54.02,54.5,52.89,53.54,8987054
84,6-Dec-16,53.25,54.27,52.91,54.02,9056078
85,5-Dec-16,54.38,54.74,53.72,53.9,9235259
86,2-Dec-16,53.25,54.52,53.11,54.17,7174924
87,1-Dec-16,54.08,54.8,53.19,53.24,11775343
88,30-Nov-16,51.68,54.92,50.82,53.09,32232006
89,29-Nov-16,47.79,48.49,47.06,47.79,12331967
90,28-Nov-16,49.64,49.73,48.68,48.8,6968496
91,25-Nov-16,49.27,49.52,48.9,49.51,2736261
92,23-Nov-16,49.42,50.01,49.35,49.47,3987383
93,22-Nov-16,50.43,50.49,49.07,49.84,7699549
94,21-Nov-16,50.04,50.45,49.71,50.1,8011232
95,18-Nov-16,48.86,49.49,48.76,49.31,6662999
96,17-Nov-16,49.38,49.78,48.22,48.6,7953820
97,16-Nov-16,49.33,49.69,48.58,48.76,7835213
98,15-Nov-16,48.52,49.9,48.5,49.76,11770261
99,14-Nov-16,47.61,48.54,47.34,48.14,8395484
100,11-Nov-16,48.35,48.61,47.21,48.01,7635120
101,10-Nov-16,47.69,48.99,47.57,48.81,11520095
102,9-Nov-16,47.46,48.24,47.12,47.82,12189753
103,8-Nov-16,47.08,47.7,46.91,47.12,5320314
104,7-Nov-16,46.81,47.46,46.81,47.44,5504441
105,4-Nov-16,46.46,46.84,45.75,46.38,7031649
106,3-Nov-16,45.94,46.61,45.84,46.58,7378022
107,2-Nov-16,45.51,46.22,45.08,45.93,8158125
108,1-Nov-16,46.37,46.68,45.36,46.23,6869875
109,31-Oct-16,46.42,46.68,45.9,46.0,7931220
110,28-Oct-16,47.6,47.8,46.06,46.58,10410954
111,27-Oct-16,47.9,48.25,47.5,47.55,6001169
112,26-Oct-16,47.21,48.5,46.85,47.62,8619686
113,25-Oct-16,48.22,48.84,47.56,47.77,7760241
114,24-Oct-16,48.54,48.69,47.76,48.24,7399113
115,21-Oct-16,48.36,48.78,48.09,48.43,6658976
116,20-Oct-16,48.89,49.51,48.43,48.75,8613046
117,19-Oct-16,47.7,50.23,47.7,49.07,19236464
118,18-Oct-16,46.97,47.28,46.3,47.07,9834054
119,17-Oct-16,46.95,47.35,45.98,46.32,8169273
120,14-Oct-16,47.46,47.83,46.84,46.97,7353354
121,13-Oct-16,46.38,47.96,46.12,47.02,7327918
122,12-Oct-16,46.64,47.18,46.25,46.96,7565457
123,11-Oct-16,46.91,47.17,46.29,46.64,9504979
124,10-Oct-16,46.79,47.64,46.76,47.26,8799420
125,7-Oct-16,46.38,46.85,45.98,46.26,7014466
126,6-Oct-16,46.04,46.4,45.55,46.37,7624049
127,5-Oct-16,45.2,46.07,44.94,45.72,7529489
128,4-Oct-16,44.91,45.0,44.23,44.59,5035852
129,3-Oct-16,45.11,45.19,44.54,44.9,6221416
130,30-Sep-16,44.54,45.08,44.07,44.88,9195272
131,29-Sep-16,42.89,44.72,42.89,44.18,15139033
132,28-Sep-16,41.11,42.96,40.45,42.79,12551927
133,27-Sep-16,40.92,41.08,40.12,40.95,11842888
134,26-Sep-16,41.98,42.31,41.18,41.38,9322495
135,23-Sep-16,42.29,43.04,41.67,41.84,7191650
136,22-Sep-16,43.25,43.63,42.6,42.65,5924896
137,21-Sep-16,41.67,42.84,41.6,42.72,7610232
138,20-Sep-16,41.31,41.63,41.01,41.26,7771268
139,19-Sep-16,41.46,41.86,41.27,41.28,6836504
140,16-Sep-16,40.77,41.35,40.74,41.04,9673245
141,15-Sep-16,41.39,42.12,41.21,41.77,6862951
142,14-Sep-16,40.85,41.73,40.63,41.26,8061051
143,13-Sep-16,41.81,41.96,40.6,41.11,11877326
144,12-Sep-16,41.6,42.74,41.52,42.4,6986444
145,9-Sep-16,43.72,43.76,41.95,41.95,9519967
146,8-Sep-16,43.92,44.35,43.48,44.12,6212635
147,7-Sep-16,43.7,43.98,43.2,43.57,5173519
148,6-Sep-16,43.53,43.9,43.13,43.73,6003151
149,2-Sep-16,43.46,44.09,43.29,43.32,5990442
150,1-Sep-16,43.01,43.29,42.57,43.21,5274421
151,31-Aug-16,43.9,44.28,42.65,43.01,9659955
152,30-Aug-16,44.74,45.19,43.88,44.07,8194785
153,29-Aug-16,44.37,45.02,44.35,44.74,4474209
154,26-Aug-16,44.65,45.27,44.36,44.56,5249683
155,25-Aug-16,44.51,44.79,44.15,44.57,4098904
156,24-Aug-16,44.58,45.16,44.14,44.35,6439870
157,23-Aug-16,45.02,45.5,44.93,44.99,7647901
158,22-Aug-16,46.18,46.24,44.87,45.08,11337269
159,19-Aug-16,46.22,46.9,46.04,46.85,8841171
160,18-Aug-16,45.44,46.55,45.38,46.46,12196697
161,17-Aug-16,44.59,45.22,44.44,45.1,6190284
162,16-Aug-16,44.56,44.78,44.2,44.62,8288223
163,15-Aug-16,44.05,44.73,44.02,44.45,4436077
164,12-Aug-16,44.14,44.4,43.67,43.84,4345078
165,11-Aug-16,43.94,44.42,43.87,44.08,5273325
166,10-Aug-16,44.2,44.39,43.65,43.76,5182270
167,9-Aug-16,44.49,44.53,43.85,44.05,4516436
168,8-Aug-16,43.98,45.05,43.94,44.26,6606026
169,5-Aug-16,43.11,43.88,42.89,43.71,6442744
170,4-Aug-16,42.71,43.3,42.55,42.99,5156319
171,3-Aug-16,42.01,42.94,41.69,42.94,7347011
172,2-Aug-16,42.5,42.73,41.48,42.06,7866562
173,1-Aug-16,43.42,43.44,41.95,42.28,8450973
174,29-Jul-16,42.27,43.8,42.17,43.66,7437322
175,28-Jul-16,42.81,43.4,42.51,42.77,7411770
176,27-Jul-16,43.2,43.7,42.6,42.92,6385841
177,26-Jul-16,42.35,43.31,42.35,43.24,7246492
178,25-Jul-16,43.44,43.48,42.39,42.54,8241708
179,22-Jul-16,43.83,43.91,42.82,43.83,8900243
180,21-Jul-16,44.28,44.75,43.25,43.54,9371047
181,20-Jul-16,44.92,44.93,43.91,44.28,16067171
182,19-Jul-16,45.31,45.52,44.77,44.99,9756148
183,18-Jul-16,45.17,45.61,44.9,45.61,6105889
184,15-Jul-16,45.97,46.09,45.28,45.46,5704884
185,14-Jul-16,45.9,46.09,45.66,45.81,6803673
186,13-Jul-16,45.81,46.07,44.71,45.21,9077477
187,12-Jul-16,45.19,46.48,45.1,46.03,11462712
188,11-Jul-16,45.41,45.89,44.46,44.48,9053848
189,8-Jul-16,44.28,45.32,44.14,45.03,10482053
190,7-Jul-16,44.02,44.92,43.21,43.55,8516273
191,6-Jul-16,43.36,43.71,42.95,43.65,8205997
192,5-Jul-16,44.74,44.85,42.92,43.53,12375680
193,1-Jul-16,45.2,45.84,45.16,45.56,7718626
194,30-Jun-16,44.48,45.38,44.34,45.29,9742051
195,29-Jun-16,43.79,45.02,43.56,44.59,9788850
196,28-Jun-16,42.63,43.46,42.43,43.27,9393514
197,27-Jun-16,43.29,43.5,41.7,41.88,12329779
198,24-Jun-16,43.81,44.65,43.56,43.92,12651422
199,23-Jun-16,45.28,45.86,44.94,45.84,8136701
200,22-Jun-16,44.94,45.18,44.48,44.66,11277998
201,21-Jun-16,43.92,44.87,43.71,44.62,9233865
202,20-Jun-16,44.93,44.95,43.78,43.79,7630517
203,17-Jun-16,43.75,44.31,43.39,44.11,9387465
204,16-Jun-16,43.36,43.53,42.47,43.19,10109210
205,15-Jun-16,43.88,44.61,43.46,43.98,7981709
206,14-Jun-16,44.0,44.5,43.39,43.99,9087284
207,13-Jun-16,43.94,44.95,43.73,44.28,8504669
208,10-Jun-16,45.04,45.27,44.16,44.38,10423753
209,9-Jun-16,45.69,46.08,45.39,45.5,8514637
210,8-Jun-16,46.34,46.69,45.63,46.29,11733303
211,7-Jun-16,44.95,46.49,44.84,46.08,15583226
212,6-Jun-16,43.13,45.0,43.1,44.89,13760893
213,3-Jun-16,42.15,42.97,41.78,42.85,9015746
214,2-Jun-16,41.92,42.13,41.5,42.13,6651714
215,1-Jun-16,41.8,42.53,41.46,42.15,8131020
216,31-May-16,42.39,43.08,41.88,42.18,9865002
217,27-May-16,42.3,42.64,42.07,42.58,6409678
218,26-May-16,42.8,43.2,42.5,42.64,8913078
219,25-May-16,41.7,42.75,41.66,42.45,7650636
220,24-May-16,41.54,41.73,41.06,41.42,8231298
221,23-May-16,40.43,41.67,40.41,41.46,11514737
222,20-May-16,40.55,41.33,40.34,40.91,8363898
223,19-May-16,40.0,40.43,39.32,40.14,7559111
224,18-May-16,41.03,41.15,39.87,40.28,8342215
225,17-May-16,40.5,41.63,40.3,41.17,10772936
226,16-May-16,39.53,40.46,39.45,40.18,10701295
227,13-May-16,39.75,40.19,38.97,39.06,8218827
228,12-May-16,40.0,40.33,39.72,40.05,10429268
229,11-May-16,38.83,40.12,38.8,39.54,10943856
230,10-May-16,39.01,39.26,38.6,38.84,8270793
231,9-May-16,39.31,39.31,38.24,38.69,8927332
232,6-May-16,39.47,40.17,39.16,39.44,13822108
233,5-May-16,40.44,40.77,39.58,39.94,12807103
234,4-May-16,40.13,40.69,39.24,39.86,12586392
235,3-May-16,40.66,41.76,39.78,40.44,19591559
236,2-May-16,41.53,42.82,41.42,42.05,23521580
237,29-Apr-16,41.1,41.93,40.41,41.31,10380574
238,28-Apr-16,41.13,41.65,40.41,41.04,9252333
239,27-Apr-16,40.23,41.58,40.23,41.04,11801917
240,26-Apr-16,40.21,40.36,39.5,40.22,9776473
241,25-Apr-16,40.55,41.34,39.32,40.04,13175658
242,22-Apr-16,40.14,41.37,39.98,40.84,11185291
243,21-Apr-16,40.28,41.57,40.22,40.33,16368665
244,20-Apr-16,39.59,40.91,39.53,40.34,9696616
245,19-Apr-16,39.09,40.28,38.85,40.04,11208154
246,18-Apr-16,37.25,39.3,37.25,38.99,8708868
247,15-Apr-16,38.13,38.44,37.62,38.27,7156012
248,14-Apr-16,38.39,38.87,38.03,38.38,9817854
249,13-Apr-16,37.87,38.49,37.6,38.31,11358980
250,12-Apr-16,37.32,37.99,36.73,37.66,12394081
251,11-Apr-16,37.5,38.08,37.2,37.22,8268366
